 0730; Hitachi RM-791B ! Huayu ! Унив., кор. CLE-964;0,90;Є
 0732; Hitachi 32HDT01 CA48105  (LED) Huayu ! Huayu !;2,15;НЕМАЄ
;008 JVC;;
 0804; JVC RM-C364 GY, JVC RM-C360 (TV) белый  Huayu  ! Huayu !;1,30;Є
 0806; JVC RM-C438  (TV);0,65;МАЛО
 0807; JVC RM-C457  (TV)  Huayu  ! Huayu !  (=0809);0,50;Є
 0808; JVC RM-C462  (TV)  Huayu  ! Huayu !  (=0809);1,00;Є
 0809; JVC RM-C463  (TV)  (=0808);0,50;МАЛО
 0810; JVC RM-C470  (TV);1,20;НЕМАЄ
 0811; JVC RM-C530  (TV)  Huayu  ! Huayu !;1,00;Є
 0814; JVC RM-C1280  (TV) =0843;1,30;Є
 0816; JVC RM-C565  (TV)  Huayu  ! Huayu !;0,85;Є
 0819; JVC RM-C498  (TV)  Huayu  ! Huayu !;0,60;Є
 0821; JVC RM-C220 (-223,-232,-236)  (TV)  Huayu  ! Huayu !;1,10;Є
 0826; JVC RM-C1261  (TV)  ! Huayu !;1,24;Є
 0839; JVC RM-C1309  (TV)  (=0854) ! Huayu !;1,00;Є
 0843; JVC RM-C1281/RM-C1280  (TV)  Huayu  ! HQ !  (=0854);1,05;Є
 0843x; JVC RM-C1281  (TV);0,90;Є
 0844; JVC RM-C1023  (TV)  =0839;1,20;НЕМАЄ
 0846; JVC RM-C1302  (TV)  =0847;1,25;Є
 0847; JVC RM-C1350  (TV)  PIP;0,85;Є
 0850; JVC RM-C1150  (TV)  =0852 Uni;1,40;МАЛО
 0851; JVC RM-710R ! Huayu ! Унив., LCD кор. RM-C2020;1,50;Є
 0853; JVC RM-C2020  LCD (=0851) ! Huayu !;1,25;Є
 0854; JVC RM-530F ! Huayu ! Унив., кор. RM-C530F;1,29;Є
 0859; JVC RM-C1171  LCD =0843 ! Huayu !;1,45;Є
 0860; JVC RM-C1100  (LCD TV)  Huayu  ! Huayu !;1,45;Є
 0864; JVC LT-32MU380 LT-32MU58 Huayu ! HQ ! (=3158);1,30;Є
 0865; JVC RM-L1552 ! Huayu ! Унив., кор.;1,90;Є
;009 LG;;
 0902; LG 105-224P  (TV)  PIP;1,50;МАЛО
 0904; LG 105-230M, 105-230D, 105-230K  (TV)  ! Huayu !;1,20;Є
 0905; LG 6710V00088W  (TV)  =0935V, 0979;1,30;Є
 0907; LG 6710V0090D  (TV)  =0969  ! Huayu !;1,28;Є
 0908; LG 6710V00007A  (TV);1,30;МАЛО
 0910; LG 6710V00008A  (TV)  Huayu  ! Huayu !;1,25;Є
 09100; LG MKJ40653802  (LCD TV) не работает кн. P+ (=0986);1,05;Є
 09101; LG MKJ32022830/2835/2836, MKJ39170804 (Plasma TV)  (LCD TV) Huayu ! Huayu ! (=0983);1,50;Є
 09111; LG RM-L859 ! Huayu ! Унив.,  (LCD)  кор. AKB69680403;1,65;НЕМАЄ
 09114; LG MKJ40653831  LCD =0986;1,75;НЕМАЄ
 09115; LG RM-L810 ! Huayu ! Унив., LCD кор. AKB33871413, AKB33871408;1,64;Є
 09131; LG AKB33871409  (LCD TV)  Huayu  ! Huayu ! (=09115);1,65;Є
 09132; LG MKJ37815705  (LCD TV)  Huayu  ! Huayu ! (=09187);1,70;Є
 09133; LG AKB33871408  (LCD TV)  Huayu  ! HQ ! (=09115/09131/09180);1,40;Є
 09135; LG AKB72914066 (AKB73275612/ AKB72914294/ AKB72914290) (LCD TV)  3D smart (=09175, 3006) P;1,75;Є
 09136; LG AKB72914020 (AKB72914029, AKB72914039) (=09175, 3006) PNG;2,35;Є
 09137; LG AKB72915202  (LED TV)  (=09149,09138, 3013);1,70;НЕМАЄ
 09138; LG AKB72915244, LG AKB72915236 smart ! Huayu ! (=3013);1,70;Є
 09139; LG AKB73275605  (=AKB73275607)   (LCD TV) (=09175, 3006) P;2,20;Є
 0914; LG 6710V00017H /017F /017E (TV)  Huayu  ! HQ !;1,20;Є
 09141; LG AKB73275612 (AKB72914066/ AKB72914294/ AKB72914290) (LED TV) 3D smart (=09175, 3006) PNG;1,75;Є
 09145; LG AKB72914271  (LCD TV)  3D  ! Huayu ! (=09175, 3006);1,80;Є
 09146; LG AKB72915210  (LED TV)  Huayu  ! Huayu ! (=09149,3013);1,36;НЕМАЄ
 09147; LG MKJ33871410  (Plasma TV)  PDP (=09115) P;1,55;МАЛО
 09148; LG AKB72914004 (=AKB72914208, AKB72914206) (LCD TV) (=09175, 3006) P;1,90;МАЛО
 09149; LG AKB72915207 (=AKB72915202 )  =09138, 3013  ! Huayu !;1,70;Є
 09152; LG AKB33871407, AKB33871413  (TV)   (=09115);1,70;НЕМАЄ
 09155; LG RM-913CB ! Huayu ! Унив., кор. MKJ37815701 (=3011);1,40;Є
 09156; LG 6710900010A (6710900010J, MKJ32022805, MKJ32022806, MKJ32022804, 6710900010G) (=0983);2,05;НЕМАЄ
 0916; LG 6710V00124E  (090A /090B/090F)  (TV)  Huayu  ! Huayu ! (=0969, 0924));1,09;Є
 09162; LG AKB72914209  (LCD TV) (=09175, 3006) PN-G;2,00;Є
 09163; LG AKB72914265  (LCD TV)  Huayu  ! Huayu ! (=09175, 3006);2,05;НЕМАЄ
 09164; LG AKB72914278  (LCD TV) 3D Huayu  ! Huayu ! (=09175, 3006);2,20;НЕМАЄ
 09165; LG AKB72915269  (LED TV) 3D (=09138, 3013);2,00;МАЛО
 09167; LG AKB73615303, AKB73615362, AKB73756502   (=09175, 3006)  B;1,80;Є
 09168; LG AKB73655822  (LED TV) (=09180, 09115);1,60;НЕМАЄ
 09175; LG RM-L999+3 ! Huayu ! Унив., ( не работает кн. POWER на коде 6121)  =3006;0,95;Є
 09177; LG AKB73615306  (=09175, 09167)  ! Huayu !;1,85;НЕМАЄ
 09178; LG AKB73615307  (LED TV)  3D (=09175, 3006) P;2,00;Є
 09179; LG AKB73615308  (LED TV) NETFLIX;1,40;Є
 09180; LG AKB73655802 (= AKB73655861, AKB73655833)  (LED TV)  Huayu (=09168, 09115);1,40;Є
 09181; LG AKB73715603  LED ! Huayu ! (=3007);1,43;Є
 09185; LG AKB73715601 /AKB73715634 LED smart left ! Huayu ! (=3007);1,43;Є
 09187; LG MKJ37815701, LG MKJ37815707, MKJ37815715   (LCD TV) монитор;1,40;Є
 09193; LG AKB73715669 (AKB73715637) SMART 3D mini (=09185, 3007, 09256);1,40;Є
 09195; LG AKB73756502 (AKB73615303, AKB73615362, AKB73615302) =09175 smart 3D P;1,90;Є
 09197; LG AKB73715686  (LCD TV)  mini  Huayu  ! HQ ! (=09219, 3007 унив);1,30;Є
 09198; LG AKB73715694  (=AKB73715695 )  LED 3D mini ! Huayu ! (=3007);1,50;Є
 0920; LG 6710T00008B (AKB30377804, 6710V00126P, AKB30377805)  (LCD TV)  Huayu  ! Huayu !  (=0972);1,60;МАЛО
 09202; LG AKB73756564 (=AKB73756565) SMART maxi 3D my apps  Huayu ! HQ ! (=09195, 09175, 3006);1,60;НЕМАЄ
 09203; LG AKB73756571 SMART maxi  my apps  (=09175, 3006) PN-G;1,65;Є
 09205; LG AKB73975757/AKB74475404 smarp up  ! Huayu !  (=09242, 3007);1,43;Є
 09206; LG AKB73975761 (AKB73975729)  (=3007)  SMART mini 3D P;1,30;НЕМАЄ
 09208; LG AKB36157102  (LCD TV);1,00;НЕМАЄ
 09209; LG AKB69491503  (HT)  Tuner, iPod, PIP;1,10;НЕМАЄ
 09210; LG AKB72915238  (LCD TV)  HOME;1,90;МАЛО
 09211; LG AKB72915249  (LCD TV)  HOME;1,90;МАЛО
 09212; LG AKB72915252  (LCD TV)   (=09138, 3013);2,00;Є
 09214; LG AKB73615319  (LCD TV)  (=09195, 09175, 3006)  B;2,00;МАЛО
 09215; LG AKB73655808  (LCD TV);2,05;НЕМАЄ
 09216; LG AKB73715613  (LCD TV) mini (=09181, 3007);1,40;МАЛО
 09217; LG AKB73975701  (LED TV)  smart mini (=3007);1,40;Є
 09218; LG AKB73756559  SMART maxi my apps (=09195, 09175, 3006) B;1,90;Є
 09219; LG AKB73715679 =LG AKB74475403 (LED)  ! HQ ! (=09224,3007);1,20;НЕМАЄ
 0922; LG 6710V00070A  (TV);1,15;Є
 09220; LG AKB37026832, HT355SD (DVD, HT)  Huayu ! Huayu !;1,50;МАЛО
 09221; LG AKB37026852 (AUX, DVD, Home Theater)  Huayu ! Huayu !;1,50;МАЛО
 09222; LG AKB74915330  (LED)  mini домик (=3007);1,40;Є
 09225p; LG AKB74475481  (LED)  mini /my apps /домик ! HQ ! (=3007);1,20;Є
 09226; LG AKB73975733  (LED)  smart 3D mini (=3007) B;1,40;Є
 09228; LG AKB74915346 (LED)  smart 3D mini (=3007);1,45;НЕМАЄ
 09229; LG MR21GA  AKB5855502, AKB6036201 Netflix, Magic Motion Оригинал;37,00;МАЛО
 0923; LG 6710V00070B  (TV);1,10;Є
 09232; LG AKB74455401 (LED)  maxi  Huayu ! Huayu ! (=09223, 09175, 3006);1,90;НЕМАЄ
 09234; LG AKB74475401 ! Huayu !;1,55;МАЛО
 09236; LG AKB74915324 LED домик ! Huayu ! (=03237, 3007);1,60;Є
 09237; LG AKB74915325  (=09236, 3007) с домиком ! Huayu !;1,60;Є
 09237x; LG AKB74915325  (=3007) smart  mini  P;1,40;Є
 0924; LG 6710V00090A  ! Huayu ! (=0916, 0969);1,10;Є
 09243; LG AKB73715639  (LED TV) (=3007);1,40;МАЛО
 09246;" LG AKB75095312/AKB75375611  (LCD TV) mini  с кнопкой "" ivi "" (=3007)";1,80;Є
 0925; LG 6710V00124Y (TV)  Huayu  ! Huayu ! (=0931, 0969);1,15;Є
 09250; LG AKB75095308 /AKB75375608 (=3099) Домик+ NETFLIX   PN;1,43;Є
 09251; LG AKB75055702  SMART mini 3D (=3007) P;1,40;Є
 09256; LG AKB73715637  SMART mini 3D  (LED TV)  Huayu  ! Huayu ! (=3007);1,30;НЕМАЄ
 09257; LG AKB75675312 LCD  домик ! Huayu !;1,15;Є
 0926; LG 6710V00124X,  MKJ61608504 (TV) =0931;1,25;Є
 09260; LG RM-L1616 PBOX ! Huayu ! Унив.,  (LCD LED HD TV) mini;1,50;Є
 09261;" LG Magic Motion Remote LG AN-MR20GA оригинал AKB75855501 (заменяет все предидущие) кнопка ""NETFLIX""";11,50;НЕМАЄ
 09265;" LG MR20GA  AKB75855501 ""NETFLIX"" голос ! HUAYU !";11,50;Є
 0931; LG 6710V00124D, MKJ61608507, 6710V00124Y  (TV)  Huayu  ! Huayu ! (=0969);1,30;Є
 0933; LG 6710V00112Q  (TV VCR) =0935V, 0979;1,20;НЕМАЄ
 0935V; LG 6710V000112 V/P/D, 6710V00145J =0979   P;1,40;Є
 0937V; LG 6710V00077V/ 6710V00077U/6710V000112D (TV) Huayu ! Huayu ! (=0935V, 0979);1,35;Є
 0938; LG 6710T00126R  (LCD TV);1,90;МАЛО
 0941; LG MKJ30036802  (TV) ! HQ !;1,15;Є
 0942; LG MKJ33981404 (=MKJ33981406, MKJ61611325, MKJ61611305) (TV)  (=3011.09155);1,35;Є
 0946; LG 6711R1P089B/089A/089L  (DVD);1,10;Є
 0955; GoldStar 105-230A /210A /230F;0,75;Є
 0962; LG 6710CDAT04E, LG 6710CDAT04D  XH-TK550, XH-TK55TBS/TBW  (HT)  Huayu  ! Huayu !;0,70;Є
 0969; LG RM-609CB+ ! Huayu ! Унив., кор. 090D;1,15;Є
 0979; LG RM-158CB ! Huayu ! Унив., кор. 112Q;1,85;Є
 0982; LG RM-D656 ! Huayu ! Унив.,  (LCD TV) кор. 6710V00141K;1,30;МАЛО
 0983; LG RM-D657 ! Huayu ! Унив.,  (LCD TV)  кор. MKJ32022838;1,85;Є
 0985; LG RM-D683CB ! Huayu ! Унив., кор. MKJ35834601;1,35;Є
 0986; LG RM-D757 ! Huayu ! Унив.,  (LCD TV)  кор. MKJ40653805;1,45;Є
 0991; LG AKB69680403, AKB69680408, AKB69680438 (=09111);1,40;Є
 0992; LG 6710V00145J (TV)  =0935V, 0979;1,50;НЕМАЄ
 0994; LG MKJ42519605 601/615/618  (Plasma, LCD TV) (=0986);1,15;НЕМАЄ
 0999; LG MKJ30036804  (TV)  Huayu  ! Huayu !;1,40;Є
 3006; LG RM-L930+! Huayu ! Унив., 3D кор. AKB72914293 (=09175);2,20;НЕМАЄ
 3007; LG RM-L1162 V5 ! Huayu ! Унив.,  (LCD/LED TV);1,38;Є
 3011; LG RM-752CB ! Huayu ! Унив.,  (LCD TV)  кор. MKJ37815701(=09155);1,40;Є
 3013; LG RM-L915+ ! Huayu ! Унив., (LED TV)  3D кор. AKB72915207 (=3074);1,95;Є
 3014; LG RM-L1069 ! Huayu ! Унив., (LCD TV)  3D;1,35;НЕМАЄ
 3078; LG RM-D1296  ! Huayu ! Унив., (BLU-RAY DISK HOME THEATER);1,65;Є
 3080; LG RM-D1318  ! Huayu ! Унив., (CD Home AUDIO/ SOUND BAR/MINI AUDIO);1,65;Є
 3088; LG RM-G3900 ver.2 Magic Motion для серии (MR) ! Huayu !;12,00;НЕМАЄ
 3099; LG RM-L1379 ! Huayu ! Унив., для LG smart TV =3007;1,50;НЕМАЄ
;010 ORION;;
 1004; Orion 076L078030  (TV)  Huayu  ! Huayu !;0,75;МАЛО
 1006; Orion 076L078090  (TV)  Huayu  ! Huayu !;0,50;МАЛО
 1011; Orion OR-LCD1, LCD2016  (LCD TV) ! HQ !;1,40;Є
 1012; Orion OR-LCD2, LCD1922  (LCD TV);1,35;Є
 1013; Orion RC-56,  A76M027002  (TV);0,70;Є
 1021; Orion RC-R02 PRIMA, RC-R16-0A, RC-R01-OH TXT  (TV)  Huayu  ! Huayu !;1,35;Є
 1022; Orion PT2461-103 /SP2150  (TV) ! Huayu !;1,15;Є
 1022x; Orion PT2461-103 /SP2150  (TV) Prowest;0,98;Є
 1024; Orion 076N0GE030  (TV) ( код 50AF) на 30 % телевизоров;0,80;Є
 1025; Orion K-37, SPP1416  (TV) (=1610);1,60;НЕМАЄ
